pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
29019,EQ,nse_cm,,ECAPINSURE,ECAPINSURE-EQ,,ECAPINSURE,INF754K01TX4,,,,EDELAMC - ECAPINSURE,,,1,1,-1,-1,2,-1,NSE,,,1420588800,,1420588800,0,0,0,0,0,19.40-29.10,0,0,1456077275,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,217678.00,1,0,2910,1940,1,1,1,0,0,1,0,6.65685e+06,0,0,217678,
29570,SG,nse_cm,,714HR38B,714HR38B-SG,,714HR38B-SG,IN1620240292,,,,SDL HR 7.14% 2038,,,1,100,-1,-1,2,-1,NSE,,,1423958400,,1423958400,0,0,0,0,0,95.00-105.00,0,0,1456072750,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+08,0,0,999900,
22747,SG,nse_cm,,744TN34,744TN34-SG,,744TN34-SG,IN3120230435,,,,SDL TN 7.44% 2034,,,1,100,-1,-1,2,-1,NSE,,,1393113600,,1393113600,0,0,0,0,0,95.00-105.00,0,0,1456072748,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
30161,SG,nse_cm,,717KL38,717KL38-SG,,717KL38-SG,IN2020240296,,,,SDL KL 7.17% 2038,,,1,100,-1,-1,2,-1,NSE,,,1426982400,,1426982400,0,0,0,0,0,95.00-105.00,0,0,1456072750,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,2e+08,0,0,1000000,
27033,N0,nse_cm,,78241ABH29,78241ABH29-N0,,78241ABH29-N0,INE831R07508,,,,ABHFL 7.8241% 2029 SR H1,,,1,1,-1,-1,2,-1,NSE,,,1415491200,,1415491200,0,0,0,0,1445385600,80000.00-120000.00,0,0,1456072749,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,73500,0,0,999,
17062,EQ,nse_cm,,PALREDTEC,PALREDTEC-EQ,,PALREDTEC,INE218G01033,,,,PALRED TECHNOLOGIES LTD,,,1,1,-1,-1,2,-1,NSE,,,1147219200,,1147219200,0,0,1411171200,1411689600,0,37.53-41.47,0,0,1456081179,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,400004.00,1,0,4147,3753,1,1,1,0,0,1,0,1.22326e+07,0,0,400004,Security is under Surveillance Measure - Stage 1 Long Term ASM scrip
14332,MF,nse_cm,,HDFC2638RQ,HDFC2638RQ-MF,,HDFC2638RQ-MF,INF179KC1FP2,,,,HDFCAMC - HDFC2638RQ,,,1,1,-1,-1,2,-1,NSE,,,1362182400,,1362182400,0,0,0,0,0,9.00-11.00,0,0,1456072747,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,212.00,1,0,1100,900,1,1,1,0,0,1,0,6499,0,0,212,
23633,SG,nse_cm,,752RJ34,752RJ34-SG,,752RJ34-SG,IN2920240016,,,,SDL RJ 7.52% 2034,,,1,100,-1,-1,2,-1,NSE,,,1399420800,,1399420800,0,0,0,0,0,95.00-105.00,0,0,1456072748,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+08,0,0,1000000,
6749,SG,nse_cm,,698WB37,698WB37-SG,,698WB37-SG,IN3420210186,,,,SDL WB 6.98% 2037,,,1,100,-1,-1,2,-1,NSE,,,1322006400,,1322006400,0,0,0,0,0,95.00-105.00,0,0,1456072745,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+08,0,0,999900,
758408,SG,nse_cm,,712GA36,712GA36-SG,,712GA36-SG,IN1420250053,,,,SDL GA 7.12% 2036,,,1,100,-1,-1,2,-1,NSE,,,1439942400,,1439942400,0,0,0,0,0,95.00-105.00,0,0,1456072752,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,327000.00,100,0,10500,9500,1,1,1,0,0,1,0,1e+07,0,0,327000,
